ABE	RU	20374	-4.184811628596855
ABE	XE	20374	-3.2604630454140695
ABE	NW	19386	1.8226794590220783
ABE	TW	20211	2.002008032128514
ABE	US	20355	2.6525840853158327
ABE	AL	20355	3.628765060240964
ABE	AA	19805	4.630407124681934
ABE	PI	19822	5.016528925619835
ABE	DH	20404	5.356243252968694
ABE	OH	20417	6.53022997032641
ABI	RU	20374	-4.604166666666667
ABI	US	20355	0.0
ABI	EV	20366	1.75
ABI	MQ	20398	3.869399156310569
ABI	OO	20304	6.579889807162535
ABQ	TZ	20312	-11.0
ABQ	YV	20378	-0.6981132075471698
ABQ	F9	20436	0.16645859342488556
ABQ	RU	20374	2.4013333333333335
ABQ	CO	19704	2.6533572565767862
ABQ	PS	19391	3.7683823529411766
ABQ	US	20355	4.019588001445609
ABQ	AL	20355	4.096947935368043
ABQ	TW	20211	4.364707629846016
ABQ	XE	20374	4.621501114689125
ABY	EV	20366	9.863852871129929
ABY	OH	20417	18.727272727272727
ACK	AA	19805	7.3
ACK	RU	20374	15.94920634920635
ACK	CO	19704	21.008928571428573
ACK	OH	20417	28.775510204081634
ACK	XE	20374	34.61308411214953
ACK	B6	20409	45.76987447698745
ACT	MQ	20398	1.336382485668984
ACT	OO	20304	4.885492700729927
ACV	OO	20304	10.766119471044231
ACV	UA	19977	26.36842105263158
ACY	DH	20404	1.7573696145124718
ACY	OH	20417	2.633909742724589
ACY	US	20355	3.5928943199818963
ACY	AL	20355	4.248387096774193
ACY	EV	20366	21.97872340425532
ACY	MQ	20398	106.0
ADK	AS	19930	20.950592885375492
ADQ	AS	19930	9.054507104795738
AEX	RU	20374	0.7257512362114873
AEX	XE	20374	1.658450704225352
AEX	MQ	20398	8.903526970954356
AEX	EV	20366	12.115384615384615
AGS	US	20355	2.2506229235880397
AGS	CO	19704	2.5714285714285716
AGS	PI	19822	4.166816952209198
AGS	OH	20417	5.130872483221476
AGS	DL	19790	5.5674244096226
AGS	YV	20378	8.285714285714286
AGS	RU	20374	12.617151607963246
AGS	EV	20366	12.768453397063844
AKN	AS	19930	9.761252083719206
ALB	NW	19386	3.5727688609754207
ALB	AA	19805	3.638358974358974
ALB	YV	20378	4.904692082111437
ALB	US	20355	5.187693498452012
ALB	PI	19822	5.565640194489466
ALB	OH	20417	5.821792007942418
ALB	AL	20355	6.009670220679395
ALB	EA	19707	6.46448087431694
ALB	DH	20404	7.424030865331619
ALB	RU	20374	7.61084793936523
ALO	NW	19386	-0.03669724770642202
ALO	TW	20211	5.833333333333333
ALO	9E	20363	11.6187624750499
AMA	EV	20366	2.400282220131703
AMA	DL	19790	3.5946187339510995
AMA	AA	19805	3.6390497224377722
AMA	RU	20374	4.670785340314136
AMA	XE	20374	4.828467153284672
AMA	MQ	20398	6.622493859599017
AMA	WN	19393	6.650798494558031
AMA	CO	19704	7.657718120805369
AMA	OO	20304	85.0
ANC	NW	19386	3.8082656191142443
ANC	HA	19690	4.083333333333333
ANC	DL	19790	7.12481904856986
ANC	TW	20211	7.496412263535551
ANC	UA	19977	7.857567166194141
ANC	AS	19930	8.186230703650702
ANC	CO	19704	8.223300970873787
ANC	HP	19991	11.122429459588714
ANC	US	20355	14.128654970760234
ANC	F9	20436	16.230366492146597
ANI	AS	19930	4.722084367245658
APF	PI	19822	2.696271929824561
APF	MQ	20398	4.105263157894737
APF	EV	20366	11.248662000823384
ASE	YV	20378	11.13091976516634
ASE	OO	20304	13.29001498433456
ATL	PI	19822	5.378659726740404
ATL	AL	20355	5.454328358208955
ATL	ML	20295	5.537835638730676
ATL	NW	19386	5.640936334047789
ATL	B6	20409	5.990791896869245
ATL	F9	20436	6.286079479432954
ATL	RU	20374	7.906732304417243
ATL	TW	20211	8.185952368434888
ATL	AA	19805	8.327964908200576
ATL	EA	19707	8.370459268328045
ATW	DH	20404	1.593183466279913
ATW	NW	19386	1.7186456843109204
ATW	OH	20417	5.063892391761244
ATW	9E	20363	5.7629449838187705
ATW	OO	20304	11.458879866749948
ATW	EV	20366	12.116762494471473
ATW	YV	20378	17.753822030576245
AUS	RU	20374	-0.7648848326814428
AUS	AL	20355	-0.4070631970260223
AUS	NW	19386	1.0496323529411764
AUS	PA	20384	1.2961011591148577
AUS	F9	20436	1.9573590096286106
AUS	US	20355	2.4780246434462017
AUS	DH	20404	2.863080684596577
AUS	TW	20211	3.4916034183947886
AUS	XE	20374	3.5431930016402404
AUS	HP	19991	4.242559589616592
AVL	YV	20378	-1.8823529411764706
AVL	US	20355	2.7286256983240222
AVL	DH	20404	3.569482288828338
AVL	OH	20417	5.152626362735382
AVL	PI	19822	6.0638414969730325
AVL	DL	19790	6.089806300136959
AVL	9E	20363	6.7268565615462865
AVL	RU	20374	10.60219707057257
AVL	EV	20366	13.364361906223621
AVL	XE	20374	18.62805662805663
AVP	US	20355	3.1760979368204776
AVP	DL	19790	3.4186445524735487
AVP	AL	20355	3.6582867783985105
AVP	EA	19707	4.359073359073359
AVP	OH	20417	5.506214689265537
AVP	9E	20363	9.010317460317461
AVP	DH	20404	12.675507020280811
AVP	OO	20304	13.832142857142857
AVP	EV	20366	16.01602992252204
AVP	YV	20378	29.36417033773862
AZO	US	20355	1.6054872280037844
AZO	NW	19386	1.7962070300130186
AZO	OH	20417	2.9242381884260555
AZO	PI	19822	5.0177736202058
AZO	DH	20404	5.699045671438309
AZO	MQ	20398	7.224965571512886
AZO	9E	20363	7.32399577167019
AZO	EV	20366	9.308564231738035
AZO	OO	20304	10.809433962264151
BDL	PA	20384	-2.847457627118644
